text,label
The road near City Market has many potholes and is dangerous at night,road
Potholes on Main Street are causing accidents for bikers,road
Broken road and uneven surface near bus stand need urgent repair,road
Street damage on Ring Road makes travel unsafe during rain,road
Road cracks near school gate are getting worse every day,road
There is no water supply in our colony since yesterday,water
Low water pressure in the tap at Green Park area,water
Sewage water is leaking near the public pipeline in our lane,water
Drinking water contamination reported in Ward 12,water
Water pipeline burst near temple road needs immediate fix,water
Power cut in our locality for more than six hours,electricity
Electricity voltage fluctuation damaged home appliances,electricity
Transformer failure near old bus station caused blackout,electricity
Frequent power outage in Sector 8 every evening,electricity
Street lights not working on Lake View Road,electricity
Garbage is not collected regularly in our street,garbage
Waste dumping near playground is causing foul smell,garbage
Overflowing trash bins in market area attract stray animals,garbage
Municipal garbage truck has not visited our ward this week,garbage
Open dumping of waste behind apartments is unhygienic,garbage
Public toilet maintenance is poor in our area,general
Need better street signage near the hospital,general
Illegal parking blocks access to residential lane,general
Noise disturbance from construction after midnight,general
